L (um),Porosity,Vol Frac Cond,C-rate (1/h),Vol Frac AM,AM Loading (g),Specific Current (mA/g),Current Density (mA/cm2),AM Areal Loading (mg/cm2),Cond Loading (g),Tortuosity (Bruggeman),Theta_Beta,Capacity (mAh/g),Electrode Areal Energy Density (Wh/cm2),Electrode Volumetric Energy Density (Wh/cm3),Electrode Volumetric Power Density (W/cm3),Utilization,Electrode Areal Power Density (W/cm2)
50.0,0.05,0.02,0.1,0.93,0.018555000000000002,36.2,0.530239,14.6475,0.00028705,4.4721400000000004,0.9678260000000001,259.16700000000003,0.00974701,1.9494,0.27228800000000003,0.955598,0.0013614400000000002
50.0,0.05,0.03,0.1,0.92,0.0183555,36.2,0.5245380000000001,14.49,0.000430575,4.4721400000000004,0.9686600000000001,259.379,0.00972259,1.94452,0.271384,0.9571459999999999,0.00135692
50.0,0.05,0.04,0.1,0.91,0.018156,36.2,0.518836,14.3325,0.0005741,4.4721400000000004,0.968081,258.124,0.00972711,1.9454200000000001,0.27133,0.957875,0.00135665
50.0,0.05,0.045,0.1,0.905,0.0180562,36.2,0.515986,14.2538,0.000645862,4.4721400000000004,0.968081,259.55,0.00967366,1.9347299999999998,0.269839,0.957875,0.0013491949999999999
50.0,0.05,0.051,0.1,0.899,0.0179365,36.2,0.5125649999999999,14.1593,0.000731977,4.4721400000000004,0.967835,259.661,0.00964309,1.92862,0.268872,0.957939,0.00134436
50.0,0.05,0.055,0.1,0.895,0.0178567,36.2,0.510284,14.0962,0.000789387,4.4721400000000004,0.9678700000000001,258.211,0.00960421,1.92084,0.267787,0.957995,0.001338935
50.0,0.05,0.06,0.1,0.89,0.017756900000000003,36.2,0.507433,14.0175,0.000861149,4.4721400000000004,0.9678700000000001,259.66200000000003,0.00955056,1.9101099999999998,0.266291,0.957995,0.001331455
50.0,0.05,0.07,0.1,0.88,0.0175574,36.2,0.501732,13.86,0.00100467,4.4721400000000004,0.967909,259.661,0.00944484,1.88897,0.263345,0.958025,0.001316725
50.0,0.05,0.08,0.1,0.87,0.017357900000000002,36.2,0.49603100000000006,13.7025,0.0011482,4.4721400000000004,0.9679549999999999,259.66200000000003,0.00933933,1.8678700000000001,0.260402,0.95806,0.0013020100000000001
50.0,0.05,0.09,0.1,0.86,0.0171584,36.2,0.490329,13.545,0.00129172,4.4721400000000004,0.967995,259.66,0.00923304,1.8466099999999999,0.257439,0.958096,0.0012871949999999999
