State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       0.98752      2.50212     1.40382E+00     0.00000E+00     1.00000E-03     9.99967E-01     3.32737E-05     1.71472E-05     2.90124E+00     1.00000E+00     1.26150E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.40020E+00    -5.25061E-04     9.79431E-04     1.00000E+00     9.96277E-08     9.07005E-07     2.90120E+00     2.00000E+00     1.25810E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.39302E+00    -1.58859E-03     9.39449E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+00     1.25137E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.38586E+00    -2.66528E-03     9.00629E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.24465E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.37872E+00    -3.75477E-03     8.62972E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.23792E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.37161E+00    -4.85661E-03     8.26482E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.23121E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.36454E+00    -5.97019E-03     7.91164E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.22452E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.35751E+00    -7.09474E-03     7.57023E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.21784E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.35054E+00    -8.22934E-03     7.24063E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.21120E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.34364E+00    -9.37280E-03     6.92290E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.20461E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.33682E+00    -1.05237E-02     6.61712E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.19807E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.33009E+00    -1.16804E-02     6.32335E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.20000E+01     1.19160E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.32349E+00    -1.28409E-02     6.04167E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.30000E+01     1.18522E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.31702E+00    -1.40029E-02     5.77217E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.40000E+01     1.17895E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.31071E+00    -1.51635E-02     5.51492E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.50000E+01     1.17283E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.30459E+00    -1.63196E-02     5.27003E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.60000E+01     1.16687E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.29870E+00    -1.74675E-02     5.03759E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.70000E+01     1.16111E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.29307E+00    -1.86032E-02     4.81769E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.80000E+01     1.15559E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.28774E+00    -1.97219E-02     4.61044E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.90000E+01     1.15036E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.28276E+00    -2.08185E-02     4.41591E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.00000E+01     1.14547E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.27818E+00    -2.18872E-02     4.23422E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.10000E+01     1.14096E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.27405E+00    -2.29217E-02     4.06544E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.20000E+01     1.13691E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.27045E+00    -2.39153E-02     3.90965E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.30000E+01     1.13337E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.26742E+00    -2.48611E-02     3.76691E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.40000E+01     1.13042E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.26503E+00    -2.57515E-02     3.63727E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.50000E+01     1.12811E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.26335E+00    -2.65791E-02     3.52078E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.60000E+01     1.12652E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.26244E+00    -2.73364E-02     3.41744E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.70000E+01     1.12570E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.26236E+00    -2.80163E-02     3.32726E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.80000E+01     1.12573E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.26316E+00    -2.86119E-02     3.25020E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.90000E+01     1.12664E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.26488E+00    -2.91172E-02     3.18623E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+01     1.12849E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.26756E+00    -2.95271E-02     3.13527E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.10000E+01     1.13128E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.27121E+00    -2.98373E-02     3.09723E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.20000E+01     1.13505E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.27585E+00    -3.00452E-02     3.07200E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.30000E+01     1.13978E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.28147E+00    -3.01492E-02     3.05945E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.40000E+01     1.14546E+00     2.90000E+00     1.00000E+00
   D       0.98752      2.50212     1.28476E+00    -3.01492E-02     3.05945E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.50000E+01     1.14877E+00     2.90000E+00     1.00000E+00
   C       1.88832      2.00598     1.89677E+00     0.00000E+00     1.00000E-03     2.48941E-01     7.51059E-01     5.54538E-04     3.90000E+00     1.00000E+00     2.20890E+00     3.01361E+00     1.00000E+00
   C       1.88832      2.00598     1.89610E+00     5.25061E-04     9.79986E-04     2.51124E-01     7.48876E-01     5.58644E-04     3.89450E+00     2.00000E+00     2.20692E+00     3.00407E+00     1.00000E+00
   C       1.88832      2.00598     1.89478E+00     1.56879E-03     9.40362E-04     2.55456E-01     7.44544E-01     5.66770E-04     3.89407E+00     3.00000E+00     2.20298E+00     3.00220E+00     1.00000E+00
   C       1.88832      2.00598     1.89347E+00     2.60749E-03     9.01714E-04     2.59799E-01     7.40201E-01     5.74878E-04     3.89360E+00     4.00000E+00     2.19902E+00     3.00038E+00     1.00000E+00
   C       1.88832      2.00598     1.89217E+00     3.64281E-03     8.64125E-04     2.64147E-01     7.35853E-01     5.82957E-04     3.89311E+00     5.00000E+00     2.19506E+00     2.99861E+00     1.00000E+00
   C       1.88832      2.00598     1.89087E+00     4.67637E-03     8.27616E-04     2.68496E-01     7.31504E-01     5.90992E-04     3.89257E+00     6.00000E+00     2.19109E+00     2.99687E+00     1.00000E+00
   C       1.88832      2.00598     1.88958E+00     5.70978E-03     7.92203E-04     2.72839E-01     7.27161E-01     5.98971E-04     3.89200E+00     7.00000E+00     2.18712E+00     2.99518E+00     1.00000E+00
   C       1.88832      2.00598     1.88830E+00     6.74459E-03     7.57903E-04     2.77168E-01     7.22832E-01     6.06879E-04     3.89139E+00     8.00000E+00     2.18315E+00     2.99352E+00     1.00000E+00
   C       1.88832      2.00598     1.88702E+00     7.78228E-03     7.24730E-04     2.81475E-01     7.18525E-01     6.14696E-04     3.89074E+00     9.00000E+00     2.17920E+00     2.99190E+00     1.00000E+00
   C       1.88832      2.00598     1.88575E+00     8.82424E-03     6.92700E-04     2.85751E-01     7.14249E-01     6.22408E-04     3.89004E+00     1.00000E+01     2.17527E+00     2.99032E+00     1.00000E+00
   C       1.88832      2.00598     1.88448E+00     9.87176E-03     6.61827E-04     2.89985E-01     7.10015E-01     6.29986E-04     3.88931E+00     1.10000E+01     2.17137E+00     2.98878E+00     1.00000E+00
   C       1.88832      2.00598     1.88323E+00     1.09260E-02     6.32129E-04     2.94164E-01     7.05836E-01     6.37416E-04     3.88852E+00     1.20000E+01     2.16752E+00     2.98729E+00     1.00000E+00
   C       1.88832      2.00598     1.88199E+00     1.19879E-02     6.03618E-04     2.98275E-01     7.01725E-01     6.44666E-04     3.88770E+00     1.30000E+01     2.16372E+00     2.98583E+00     1.00000E+00
   C       1.88832      2.00598     1.88077E+00     1.30583E-02     5.76311E-04     3.02301E-01     6.97699E-01     6.51709E-04     3.88683E+00     1.40000E+01     2.15999E+00     2.98443E+00     1.00000E+00
   C       1.88832      2.00598     1.87957E+00     1.41376E-02     5.50222E-04     3.06224E-01     6.93776E-01     6.58515E-04     3.88593E+00     1.50000E+01     2.15634E+00     2.98307E+00     1.00000E+00
   C       1.88832      2.00598     1.87839E+00     1.52261E-02     5.25365E-04     3.10024E-01     6.89976E-01     6.65054E-04     3.88499E+00     1.60000E+01     2.15280E+00     2.98178E+00     1.00000E+00
   C       1.88832      2.00598     1.87725E+00     1.63233E-02     5.01754E-04     3.13678E-01     6.86322E-01     6.71282E-04     3.88403E+00     1.70000E+01     2.14939E+00     2.98054E+00     1.00000E+00
   C       1.88832      2.00598     1.87614E+00     1.74286E-02     4.79403E-04     3.17162E-01     6.82838E-01     6.77167E-04     3.88304E+00     1.80000E+01     2.14613E+00     2.97937E+00     1.00000E+00
   C       1.88832      2.00598     1.87508E+00     1.85404E-02     4.58324E-04     3.20449E-01     6.79551E-01     6.82657E-04     3.88205E+00     1.90000E+01     2.14304E+00     2.97828E+00     1.00000E+00
   C       1.88832      2.00598     1.87407E+00     1.96567E-02     4.38529E-04     3.23508E-01     6.76492E-01     6.87715E-04     3.88106E+00     2.00000E+01     2.14016E+00     2.97727E+00     1.00000E+00
   C       1.88832      2.00598     1.87313E+00     2.07744E-02     4.20031E-04     3.26308E-01     6.73692E-01     6.92289E-04     3.88010E+00     2.10000E+01     2.13751E+00     2.97635E+00     1.00000E+00
   C       1.88832      2.00598     1.87227E+00     2.18894E-02     4.02838E-04     3.28814E-01     6.71186E-01     6.96331E-04     3.87918E+00     2.20000E+01     2.13514E+00     2.97553E+00     1.00000E+00
   C       1.88832      2.00598     1.87149E+00     2.29963E-02     3.86960E-04     3.30990E-01     6.69010E-01     6.99785E-04     3.87833E+00     2.30000E+01     2.13307E+00     2.97482E+00     1.00000E+00
   C       1.88832      2.00598     1.87081E+00     2.40886E-02     3.72405E-04     3.32799E-01     6.67201E-01     7.02599E-04     3.87757E+00     2.40000E+01     2.13134E+00     2.97423E+00     1.00000E+00
   C       1.88832      2.00598     1.87025E+00     2.51579E-02     3.59180E-04     3.34204E-01     6.65796E-01     7.04718E-04     3.87692E+00     2.50000E+01     2.12998E+00     2.97378E+00     1.00000E+00
   C       1.88832      2.00598     1.86981E+00     2.61944E-02     3.47290E-04     3.35166E-01     6.64834E-01     7.06090E-04     3.87641E+00     2.60000E+01     2.12905E+00     2.97346E+00     1.00000E+00
   C       1.88832      2.00598     1.86951E+00     2.71864E-02     3.36738E-04     3.35648E-01     6.64352E-01     7.06659E-04     3.87607E+00     2.70000E+01     2.12856E+00     2.97331E+00     1.00000E+00
   C       1.88832      2.00598     1.86937E+00     2.81204E-02     3.27526E-04     3.35616E-01     6.64384E-01     7.06374E-04     3.87592E+00     2.80000E+01     2.12856E+00     2.97333E+00     1.00000E+00
   C       1.88832      2.00598     1.86939E+00     2.89807E-02     3.19654E-04     3.35038E-01     6.64962E-01     7.05189E-04     3.87597E+00     2.90000E+01     2.12908E+00     2.97353E+00     1.00000E+00
   C       1.88832      2.00598     1.86958E+00     2.97501E-02     3.13119E-04     3.33888E-01     6.66112E-01     7.03058E-04     3.87624E+00     3.00000E+01     2.13013E+00     2.97393E+00     1.00000E+00
   C       1.88832      2.00598     1.86996E+00     3.04093E-02     3.07917E-04     3.32144E-01     6.67856E-01     6.99944E-04     3.87673E+00     3.10000E+01     2.13175E+00     2.97453E+00     1.00000E+00
