State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       0.62273      2.52334     1.40584E+00     0.00000E+00     1.00000E-03     9.99947E-01     5.29789E-05     2.61800E-05     2.90000E+00     1.00000E+00     1.24673E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.40240E+00    -4.70984E-04     9.81585E-04     9.99991E-01     8.96818E-06     1.07763E-05     2.90000E+00     2.00000E+00     1.24344E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.39545E+00    -1.42469E-03     9.45648E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+00     1.23681E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.38839E+00    -2.39003E-03     9.10609E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.23006E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.38121E+00    -3.36684E-03     8.76471E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.22320E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.37393E+00    -4.35490E-03     8.43238E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.21621E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.36654E+00    -5.35391E-03     8.10913E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.20912E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.35906E+00    -6.36349E-03     7.79501E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.20191E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.35149E+00    -7.38314E-03     7.49007E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.19460E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.34384E+00    -8.41226E-03     7.19436E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.18717E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.33611E+00    -9.45011E-03     6.90792E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.17965E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.32831E+00    -1.04958E-02     6.63082E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.20000E+01     1.17204E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.32046E+00    -1.15482E-02     6.36312E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.30000E+01     1.16433E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.31256E+00    -1.26060E-02     6.10490E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.40000E+01     1.15655E+00     2.90000E+00     1.00000E+00
   D       0.62273      2.52334     1.30463E+00    -1.36678E-02     5.85622E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.50000E+01     1.14869E+00     2.90000E+00     1.00000E+00
