State         Time      Voltage         mAh_exp         csa_NJc    Cycle_Number         fail_id     Theta_Alpha Theta_Beta_edge         csb_NJc      Theta_Beta
  CDR        hours        Volts             mAh         mol/cm3               ,               .               ,               ,            conc
   D       0.00000      3.55000     0.00000E+00     9.13526E-07     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.00278      3.31465     2.30051E-02     6.92243E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.00556      3.26033     4.60102E-02     9.78968E-02     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.00833      3.21876     6.90153E-02     1.18622E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.01111      3.18402     9.20204E-02     1.35847E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.01389      3.15117     1.15026E-01     1.51425E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.01667      3.11802     1.38031E-01     1.66041E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.01945      3.08379     1.61036E-01     1.79875E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.02222      3.04847     1.84041E-01     1.92980E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.02500      3.01241     2.07046E-01     2.05416E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.02778      2.97616     2.30051E-01     2.17259E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.03056      2.94033     2.53056E-01     2.28581E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.03334      2.90553     2.76061E-01     2.39450E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.03612      2.87231     2.99066E-01     2.49903E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.03889      2.84119     3.22071E-01     2.59968E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.04167      2.81261     3.45077E-01     2.69649E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.04445      2.78694     3.68082E-01     2.78934E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.04723      2.76446     3.91087E-01     2.87796E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.05001      2.74539     4.14092E-01     2.96195E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.05278      2.72984     4.37097E-01     3.04077E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.05556      2.71787     4.60102E-01     3.11385E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.05834      2.70932     4.83107E-01     3.18084E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.06112      2.70353     5.06112E-01     3.24238E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.06390      2.69931     5.29117E-01     3.30058E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.06667      2.69577     5.52122E-01     3.35744E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.06945      2.69251     5.75128E-01     3.41387E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.07223      2.68943     5.98133E-01     3.47012E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.07501      2.68649     6.21138E-01     3.52630E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.07779      2.68368     6.44143E-01     3.58251E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.08057      2.68099     6.67148E-01     3.63888E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.08334      2.67842     6.90153E-01     3.69557E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.08612      2.67596     7.13158E-01     3.75274E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.08890      2.67362     7.36163E-01     3.81061E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.09168      2.67139     7.59168E-01     3.86941E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.09446      2.66925     7.82174E-01     3.92941E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.09723      2.66719     8.05179E-01     3.99088E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.10001      2.66520     8.28184E-01     4.05417E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.10279      2.66324     8.51189E-01     4.11961E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.10557      2.66130     8.74194E-01     4.18754E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.10835      2.65935     8.97199E-01     4.25826E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.11112      2.65739     9.20204E-01     4.33204E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.11390      2.65538     9.43209E-01     4.40902E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.11668      2.65333     9.66214E-01     4.48921E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.11946      2.65122     9.89219E-01     4.57248E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.12224      2.64904     1.01222E+00     4.65848E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.12502      2.64680     1.03523E+00     4.74671E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.12779      2.64450     1.05823E+00     4.83653E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.13057      2.64215     1.08124E+00     4.92723E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.13335      2.63975     1.10424E+00     5.01814E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.13613      2.63733     1.12725E+00     5.10866E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.13891      2.63488     1.15026E+00     5.19836E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.14168      2.63243     1.17326E+00     5.28692E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.14446      2.62999     1.19627E+00     5.37419E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.14724      2.62758     1.21927E+00     5.46014E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.15002      2.62519     1.24228E+00     5.54483E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.15280      2.62284     1.26528E+00     5.62837E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.15557      2.62053     1.28829E+00     5.71096E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.15835      2.61825     1.31129E+00     5.79279E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.16113      2.61599     1.33430E+00     5.87412E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.16391      2.61374     1.35730E+00     5.95516E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.16669      2.61150     1.38031E+00     6.03617E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.16947      2.60926     1.40331E+00     6.11737E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.17224      2.60699     1.42632E+00     6.19898E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.17502      2.60470     1.44932E+00     6.28121E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.17780      2.60237     1.47233E+00     6.36423E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.18058      2.59999     1.49533E+00     6.44823E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.18336      2.59757     1.51834E+00     6.53335E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.18613      2.59508     1.54134E+00     6.61970E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.18891      2.59254     1.56435E+00     6.70739E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.19169      2.58992     1.58735E+00     6.79645E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.19447      2.58724     1.61036E+00     6.88691E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.19725      2.58448     1.63336E+00     6.97872E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.20002      2.58165     1.65637E+00     7.07180E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.20280      2.57873     1.67937E+00     7.16602E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.20558      2.57574     1.70238E+00     7.26121E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.20836      2.57266     1.72538E+00     7.35714E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.21114      2.56950     1.74839E+00     7.45360E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.21392      2.56627     1.77139E+00     7.55036E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.21669      2.56296     1.79440E+00     7.64720E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.21947      2.55957     1.81740E+00     7.74393E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.22225      2.55611     1.84041E+00     7.84041E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.22503      2.55259     1.86341E+00     7.93654E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
   D       0.22781      2.54900     1.88642E+00     8.03226E-01     1.00000E+00     0.00000E+00     1.00000E+00     0.00000E+00     2.90000E+00     0.00000E+00
