State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       0.27230      2.48616     1.41016E+00     0.00000E+00     1.00000E-03     9.99917E-01     8.27244E-05     4.55704E-05     2.90195E+00     1.00000E+00     1.18840E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.40622E+00    -5.20928E-04     9.79848E-04     9.99969E-01     3.10562E-05     2.79057E-05     2.90172E+00     2.00000E+00     1.18449E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.39823E+00    -1.58341E-03     9.40392E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     3.00000E+00     1.17659E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.39005E+00    -2.66718E-03     9.01787E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.16851E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.38171E+00    -3.77296E-03     8.64036E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.16025E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.37320E+00    -4.90145E-03     8.27144E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.15182E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.36453E+00    -6.05340E-03     7.91114E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.14320E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.35570E+00    -7.22957E-03     7.55952E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.13439E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.34670E+00    -8.43073E-03     7.21660E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.12539E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.33756E+00    -9.65764E-03     6.88244E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.11620E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.32825E+00    -1.09111E-02     6.55708E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.10680E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.31879E+00    -1.21918E-02     6.24058E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.20000E+01     1.09720E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.30918E+00    -1.35006E-02     5.93299E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.30000E+01     1.08740E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.29941E+00    -1.48380E-02     5.63438E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.40000E+01     1.07737E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.28948E+00    -1.62048E-02     5.34480E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.50000E+01     1.06713E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.27938E+00    -1.76015E-02     5.06432E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.60000E+01     1.05667E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.26911E+00    -1.90284E-02     4.79303E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.70000E+01     1.04597E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.25866E+00    -2.04857E-02     4.53100E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.80000E+01     1.03503E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.24802E+00    -2.19737E-02     4.27832E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.90000E+01     1.02386E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.23716E+00    -2.34918E-02     4.03508E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.00000E+01     1.01244E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.22608E+00    -2.50397E-02     3.80139E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.10000E+01     1.00077E+00     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.21474E+00    -2.66162E-02     3.57735E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.20000E+01     9.88854E-01     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.20313E+00    -2.82198E-02     3.36307E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.30000E+01     9.76698E-01     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.19121E+00    -2.98484E-02     3.15866E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.40000E+01     9.64309E-01     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.17894E+00    -3.14989E-02     2.96424E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.50000E+01     9.51700E-01     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.16630E+00    -3.31674E-02     2.77992E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.60000E+01     9.38895E-01     2.90000E+00     1.00000E+00
   D       0.27230      2.48616     1.15322E+00    -3.48491E-02     2.60581E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     2.70000E+01     9.25926E-01     2.90000E+00     1.00000E+00
