State         Time      Voltage         csa_NJc    Solution_Pot              c0     Theta_Alpha      Theta_Beta          R_beta         csb_NJc        Position           csa_e           csb_e    Cycle_Number
  CDR        hours        Volts         mol/cm3               V         mol/cm3               ,               ,            rate            conc            node           equiv           equiv               ,
   D       0.28944      2.41582     1.41516E+00     0.00000E+00     1.00000E-03     9.99830E-01     1.69720E-04     6.79467E-05     2.90232E+00     1.00000E+00     1.19071E+00     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.41112E+00    -5.32056E-04     9.79338E-04     9.99909E-01     9.13791E-05     4.98748E-05     2.90210E+00     2.00000E+00     1.18669E+00     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.40311E+00    -1.61750E-03     9.38911E-04     9.99993E-01     7.25553E-06     1.39450E-05     2.90160E+00     3.00000E+00     1.17872E+00     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.39508E+00    -2.72498E-03     8.99384E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     4.00000E+00     1.17076E+00     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.38706E+00    -3.85520E-03     8.60763E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     5.00000E+00     1.16279E+00     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.37904E+00    -5.00891E-03     8.23049E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     6.00000E+00     1.15483E+00     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.37102E+00    -6.18688E-03     7.86248E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     7.00000E+00     1.14687E+00     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.36302E+00    -7.38990E-03     7.50364E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     8.00000E+00     1.13891E+00     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.35503E+00    -8.61878E-03     7.15398E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     9.00000E+00     1.13095E+00     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.34705E+00    -9.87433E-03     6.81357E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.00000E+01     1.12298E+00     2.90000E+00     1.00000E+00
   D       0.28944      2.41582     1.33907E+00    -1.11574E-02     6.48243E-04     1.00000E+00     0.00000E+00     0.00000E+00     2.90000E+00     1.10000E+01     1.11500E+00     2.90000E+00     1.00000E+00
